*----------------------------------------------------------------
*  *

* - Description  : 
* - Procssing Date : 2015-10-29 21:39:17
*----------------------------------------------------------------
*====================================================================================
[2015-10-29 21:39:13] (LOG) ===== <PROCESS> 초기화 =====
[2015-10-29 21:39:13] (LOG) ===== <PROCESS> DB Session을 연결합니다
[2015-10-29 21:39:13] (LOG) ===== (start) 처리 시작 =====
[2015-10-29 21:39:13] (LOG) === <JOB> 처리 시작 ===
[2015-10-29 21:39:13] (LOG) Transaction을 시작합니다.
[2015-10-29 21:39:13] (LOG) datamapdmcNo -> 33606060
[2015-10-29 21:39:13] (LOG) dataSn -> null
[2015-10-29 21:39:13] (LOG) datamapdmcNo -> 33606068
[2015-10-29 21:39:13] (LOG) dataSn -> null
[2015-10-29 21:39:13] (LOG) datamapdmcNo -> 33606070
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 33607069
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 33608031
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 33608041
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 33608042
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358150781
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151102
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151103
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151104
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151108
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151109
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151110
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151112
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151121
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:14] (LOG) datamapdmcNo -> 358151161
[2015-10-29 21:39:14] (LOG) dataSn -> null
[2015-10-29 21:39:17] (LOG) ## <PROCESS> 종료 ##
[2015-10-29 21:39:17] (LOG) DB Session을 해제합니다.
*====================================================================================
